NAMEKEY,SALESKEY,ITEMKEY,BALLDATE,BALLDESC,SERIALNO,BALLPRICE,BALLQTY,COLOR,WEIGHT,INSCRIPT,L1GRIP,L1GRIPSIZE,L1HOLESIZE,L1PITCH,L1PITCHF,L1PITCH2,L1PITCHF2,L2GRIP,L2GRIPSIZE,L2HOLESIZE,L2PITCH,L2PITCHF,L2PITCH2,L2PITCHF2,R1GRIP,R1GRIPSIZE,R1HOLESIZE,R1PITCH,R1PITCHF,R1PITCH2,R1PITCHF2,R2GRIP,R2GRIPSIZE,R2HOLESIZE,R2PITCH,R2PITCHF,R2PITCH2,R2PITCHF2,THSLUG,THSLUGSIZE,THHOLESIZE,THPITCH,THPITCHF,THPITCH2,THPITCHF2,BRIDGE,L1CUTTOCUT,L2CUTTOCUT,R1CUTTOCUT,R2CUTTOCUT,L1SPAN,L2SPAN,R1SPAN,R2SPAN,HAXIS,VAXIS,VAXISUORD,STOCKKEY,PININOUT,TOPWEIGHT,BRIDGE1,BRIDGE2,COMMENTS1,COMMENTS2,SIDEWEIGHT,FINGWEIGHT,DRILLING,CGOVER,CGUP,PINOVER,PINUP,OVALANGLE,OVALWIDTH,DRILLTYPE,WHSIZE,WHDEPTH,WHWEIGHT,WHOVER,WHUP,NUMFINGERS,LEFTRIGHT,MACHSETF1,MACHSETF2,MACHSETF3,MACHSETF4,MACHSETTH,OVALANGLEN,OVALWIDTHN,COMMENTS3,SURFTEXTUR,ENDSIDEWH,ENDFINGTH,HAXISLR,MASSBIAS,F1OVALSIZE,F2OVALSIZE,F3OVALSIZE,F4OVALSIZE,ENDWTTOPB,ENDSIDEPM,ENDFTLIT,DIAMTRACK,SALEPERSON,FINISHDATE,DRCOMMENTS,IPSIAWIDTH,OVALCALCUL
10001,0,0,2010-10-09,C System 4.5,EC751011,0.0,1,Blue/Black,15.25,,None,,,None,None,,,Vise Power Lift,23/32,31/32,Lt,None,1/2,,Vise Power Lift,43/32,31/32,Rt,None,1/4,,None,,,None,None,,,Vise Urethane S,1 1/4,1,Lt,Rev,1/4,3/8,,,4 13/16,4 7/8,,,5 1/16,5 1/8,,,,None,0,3-4,2.9,1/4,,,,0.0,0.0,Label,,,,,,,Finger Tip,,,,,,2,Right,,,,,,,,,box shiny,,,Right,,,,,,None,None,None,,,,"Blank Drill
Copied specs from Break Point",,IPSIA
10002,4,8,2010-10-11,Storm Reign,10TGNI21B001,179.5,1,Crimson/Fire,15.0,,None,,,None,None,,,Vise PL,43/64,31/32,Lt,Rev,3/8,3/8,Vise PL,45/64,31/32,Rt,None,3/8,,None,,,None,None,,,Vise Urethane S,1 1/4,29/32,Lt,Rev,1/8,1/4,,,,,,,4 5/8,4 1/2,,,,None,722,3-4,3.08,1/4,,,,0.0,0.0,Label Shift,,,,,,,Finger Tip,61/64,3,3/4,5 1/2 >,1 D,2,Left,,,,,,45,.945,,box shiny,1/4,3/4,Right,,,,,,Top,Plus,Finger,,,,"Adjusted Grip from Virtual Gravity per Mike 2/28/11
",,Ebonite
10003,5,11,2010-10-11,Ebonite Maxim,8H010288C,99.95,1,Peek A Boo Blue,14.0,,None,,,None,None,,,None,,3/4,Lt,Fwrd,3/8,1/8,None,,21/32,Rt,Fwrd,3/8,1/8,None,,,None,None,,,None,,53/64,None,Fwrd,,1/8,,,,,,,3 1/8,3 1/4,,,,None,727,N/A,2.25,1/4,,,,0.0,0.0,Label,,,,,,,Conventional,,,,,,2,Right,,,,,,45,,,,,,Right,,,,,,None,None,None,,,,,,IPSIA
10005,0,0,2010-10-11,Backlash,,0.0,1,Red/Blue,0.0,,None,,,None,None,,,Vise Power Lift,23/32,31/32,Lt,Rev,3/8,1/8,Vise Power Lift,11/16,31/32,Rt,Rev,1/4,1/8,None,,,None,None,,,Vise Urethane S,1 1/4,7/8,Lt,Rev,1/8,1/4,,,4 9/16,4 5/8,,,4 25/32,4 7/8,,,,None,0,,0.0,1/4,,,,0.0,0.0,Label,,,,,,,Finger Tip,,,,,,2,Right,,,,,,,,,box shiny,,,Right,,,,,,None,None,None,,,,"Reslug thumb to smaller thumb
Specs copied from this ball",,IPSIA
10004,0,0,2010-10-09,Slingshot,GCK51006,0.0,1,Red/Silver,15.31,,None,,,None,None,,,Vise Oval,4.5,31/32,Lt,None,3/8,,Vise Oval,3.5,31/32,Rt,None,3/8,,None,,,None,None,,,Vise Urethane S,1 1/4,27/32,Lt,Fwrd,1/8,1/4,,,,,,,3 7/8,3 5/8,,,,None,0,3-4,2.1,1/4,,,,0.0,0.0,Label,,,,,,,Finger Tip,,,,,,2,Right,,,,,,45,.875,,box shiny,,,Right,,,,,,None,None,None,,,,"Blank Drill, specs copied from Jigsaw Trap
pin over right finger, high, no extra hole",,Ebonite
10006,0,0,2010-10-09,Tropical Heat,,0.0,1,Red/Blue,15.19,,None,,,None,None,,,Vise Oval,47/64,31/32,Lt,None,1/4,,Vise Oval,23/32,31/32,Rt,None,1/8,,None,,,None,None,,,Vise Urethane S,1 1/4,55/64,Lt,Rev,1/8,3/8,,,4 1/2,4 17/32,,,4 11/16+,4 3/4,,,,None,0,2-3,2.24,1/4,,,,0.0,0.0,Label,,,,,,,Finger Tip,,,,,,2,Right,,,,,,45,.890,,box shiny,,,Right,,,,,,None,None,None,,,,"Blank Drill
Specs copied from 2Furious 10/7/2010",,Ebonite
10007,0,0,2010-10-11,Invasion,09TNVL09A110,0.0,1,Blue/Burg/Red,15.0,,None,,,None,None,,,Vise Power Lift,23/32,31/32,Lt,Rev,3/8,1/8,Vise Power Lift,21/32,31/32,Rt,Rev,3/8,1/8,None,,,None,None,,,None,,55/64,Lt,Rev,1/4,1/4,,,3 23/32,3 13/16,,,,,,,,None,0,3-4,0.0,1/4,,,,0.0,0.0,Label,,,,,,,Finger Tip,,,,,,2,Right,,,,,,45,.965,,,,,Right,,,,,,None,None,None,,,,"plug and redrill thumb, new finger grips",,Ebonite
10009,0,0,2010-10-12,Copied His Ball,,0.0,1,,0.0,,None,,,None,None,,,Vise Power Lift,3/4,31/32,Lt,None,3/8,,Vise Power Lift,25/32,31/32,Rt,None,3/8,,None,,,None,None,,,Pro Sports Tape,31/32,1 1/8,Rt,Rev,1/8,1/2,,,4 5/16,4 5/32,,,4 19/32,4 7/16+,,,,None,0,,0.0,1/4,,,,0.0,0.0,Label,,,,,,,Finger Tip,,,,,,2,Left,,,,,,,,,,,,Right,,,,,,None,None,None,,,,,,IPSIA
10011,0,0,2010-10-13,Copied grip from Furious 10/7/10,,0.0,1,,15.0,,None,,,None,None,,,Vise Power Lift,21/32,31/32,Lt,None,3/8,,Vise Power Lift,23/32,31/32,Rt,None,3/8,,None,,,None,None,,,Pro Sports Oval,29/32,1 1/8,Lt,Rev,1/4,3/8,,,4 13/16,4 27/32,,,5 9/32,5 3/16,,,,None,0,,0.0,1/4,,,,0.0,0.0,Label,,,,,,,Finger Tip,,,,,,2,Left,,,,,,45,,,,,,Right,,,,,,None,None,None,,,,,,IPSIA
10013,0,0,2010-10-13,Slingshot,1CM11170,0.0,1,Red/Silver Pearl,15.12,,None,,,None,None,,,Vise VACU Style,23/32,1 1/32,Lt,Rev,3/8,1/4,Vise VACU Style,11/16,1 1/32,Rt,Rev,3/8,1/4,None,,,None,None,,,Vise Urethane S,1 1/4,59/64,Lt,Rev,1/8,1/4,,,4 13/32,4 9/16+,,,4 5/8,4 3/4,,2 7/8,7/8,Up,0,3-4,2.9,1/4,,,,0.0,0.0,35 X 4 1/2 X 8,,,,,,,Finger Tip,,,,,,2,Right,,,,,,45,.955,,box shiny,1/2,3/4,Right,,,,,,None,Plus,Finger,,,,"copied grip from Virtual Gravity (drilled by Carol)

35 X 4 1/2 X 8",,Ebonite
